detector,experiment_id,node_id,injection_type,expected_metric,duration_seconds,detected,detection_delay_seconds,recovered,recovery_delay_seconds,peak_metric_value,first_fire_score,first_fire_metric,first_fire_samples_in_window,first_fire_detail
ewma,jp-lisahost-20260421T045458Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,true,57,false,0,100.00,100.0000,cpu_percent,2,CPU EWMA deviation ≥ 3.0σ (value 100.00)
ewma,jp-lisahost-20260421T062448Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,67,true,37,100.00,100.0000,cpu_percent,3,CPU EWMA deviation ≥ 3.0σ (value 100.00)
ewma,jp-lisahost-20260421T153933Z-cpu,jp-lisahost,cpu_stress,cpu_percent,90,true,37,true,7,100.00,100.0000,cpu_percent,2,CPU EWMA deviation ≥ 3.0σ (value 100.00)
ewma,jp-lisahost-20260422T072230Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,false,0,true,815,8.91,0.0000,,0,
ewma,jp-lisahost-20260422T072646Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,false,0,true,559,100.00,0.0000,,0,
ewma,jp-lisahost-20260422T073103Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,true,302,true,302,4.00,100.0000,cpu_percent,11,CPU EWMA deviation ≥ 3.0σ (value 100.00)
ewma,jp-lisahost-20260422T073520Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,45,true,15,100.00,100.0000,cpu_percent,2,CPU EWMA deviation ≥ 3.0σ (value 100.00)
ewma,jp-lisahost-20260422T074007Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,false,0,false,0,100.00,0.0000,,0,
ewma,jp-lisahost-20260422T074502Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,false,0,false,0,100.00,0.0000,,0,
ewma,jp-lisahost-20260422T074952Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,false,0,false,0,100.00,0.0000,,0,
ewma,jp-lisahost-20260422T075618Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,false,0,false,0,100.00,0.0000,,0,
ewma,jp-lisahost-20260422T080241Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,false,0,false,0,100.00,0.0000,,0,
ewma,jp-lisahost-20260422T080907Z-cpu,jp-lisahost,cpu_stress,cpu_percent,300,false,0,false,0,100.00,0.0000,,0,
ewma,jp-lisahost-20260422T081809Z-cpu,jp-lisahost,cpu_stress,cpu_percent,300,false,0,false,0,100.00,0.0000,,0,
ewma,jp-lisahost-20260422T082712Z-cpu,jp-lisahost,cpu_stress,cpu_percent,300,false,0,false,0,100.00,0.0000,,0,
ewma,jp-lisahost-20260422T103623Z-mem,jp-lisahost,memory_stress,memory_percent,30,true,42,true,42,40.78,60.0862,memory_percent,2,Memory EWMA deviation ≥ 3.0σ (value 60.09)
ewma,jp-lisahost-20260422T103849Z-mem,jp-lisahost,memory_stress,memory_percent,30,false,0,false,0,60.13,0.0000,,0,
ewma,jp-lisahost-20260422T104043Z-mem,jp-lisahost,memory_stress,memory_percent,30,false,0,false,0,60.17,0.0000,,0,
ewma,jp-lisahost-20260422T104318Z-mem,jp-lisahost,memory_stress,memory_percent,30,false,0,true,857,59.88,0.0000,,0,
ewma,jp-lisahost-20260422T104742Z-mem,jp-lisahost,memory_stress,memory_percent,30,false,0,true,593,59.86,0.0000,,0,
